Territorio;Periodo;Provenienza;Arrivi Hotel;Arrivi Altro;Arrivi Totali
Padova;2008-08;Italia;59366.0;2245.0;61611.0
Padova;2008-08;Paesi esteri;56616.0;3774.0;60390.0
Padova;2008-09;Italia;67604.0;3630.0;71234.0
Padova;2008-09;Paesi esteri;57607.0;2706.0;60313.0
Padova;2008-10;Italia;73418.0;3242.0;76660.0
Padova;2008-10;Paesi esteri;53654.0;1649.0;55303.0
Padova;2008-11;Italia;68508.0;2755.0;71263.0
Padova;2008-11;Paesi esteri;28740.0;1087.0;29827.0
Padova;2008-12;Italia;55483.0;1767.0;57250.0
Padova;2008-12;Paesi esteri;17856.0;470.0;18326.0
Padova;2009-01;Italia;47598.0;1897.0;49495.0
Padova;2009-01;Paesi esteri;16146.0;623.0;16769.0
Padova;2009-02;Italia;54206.0;1810.0;56016.0
Padova;2009-02;Paesi esteri;18397.0;774.0;19171.0
Padova;2009-03;Italia;59002.0;2481.0;61483.0
Padova;2009-03;Paesi esteri;31547.0;703.0;32250.0
Padova;2009-04;Italia;67921.0;3767.0;71688.0
Padova;2009-04;Paesi esteri;52025.0;2319.0;54344.0
Padova;2009-05;Italia;70705.0;3525.0;74230.0
Padova;2009-05;Paesi esteri;58714.0;2116.0;60830.0
Padova;2009-06;Italia;51602.0;2281.0;53883.0
Padova;2009-06;Paesi esteri;46781.0;2540.0;49321.0
Padova;2009-07;Italia;44878.0;2080.0;46958.0
Padova;2009-07;Paesi esteri;50289.0;3769.0;54058.0
Padova;2009-08;Italia;58938.0;2080.0;61018.0
Padova;2009-08;Paesi esteri;50016.0;3675.0;53691.0
Padova;2009-09;Italia;66583.0;3953.0;70536.0
